occupation_soc_code,employment_1,hourly_mean_wage,annual_mean_wage_2,hourly_median_wage,annual_median_wage_2,employment_per_1_000_jobs,soc_code,occupation,median_wage_bin,median_wage_bin_label
Budget Analysts(132031),50,43.44,90350,42.33,88050,0.406,132031,Budget Analysts,5,88050-238990
Financial and Investment Analysts(132051),210,54.72,113820,48.01,99860,1.895,132051,Financial and Investment Analysts,5,88050-238990
Personal Financial Advisors(132052),240,61.07,127030,44.17,91880,2.097,132052,Personal Financial Advisors,5,88050-238990
Insurance Underwriters(132053),60,34.17,71080,29.39,61130,0.544,132053,Insurance Underwriters,4,60640-86950
Loan Officers(132072),160,49.34,102620,34.64,72050,1.433,132072,Loan Officers,4,60640-86950
"Tax Examiners and Collectors, and Revenue Agents(132081)",30,21.27,44230,18.94,39390,0.268,132081,"Tax Examiners and Collectors, and Revenue Agents",2,37860-48320
Tax Preparers(132082),80,31.12,64740,28.01,58260,0.687,132082,Tax Preparers,3,48340-60600
"Financial Specialists, All Other(132099)",160,35.94,74750,37.98,79000,1.409,132099,"Financial Specialists, All Other",4,60640-86950
Computer Systems Analysts(151211),460,47.2,98180,48.62,101130,4.067,151211,Computer Systems Analysts,5,88050-238990
Information Security Analysts(151212),200,57.22,119030,52.63,109480,1.746,151212,Information Security Analysts,5,88050-238990
Computer and Information Research Scientists(151221),40,63.84,132800,56.41,117320,0.32,151221,Computer and Information Research Scientists,5,88050-238990
Computer Network Support Specialists(151231),90,36.11,75100,32.02,66610,0.821,151231,Computer Network Support Specialists,4,60640-86950
Computer User Support Specialists(151232),420,30.53,63500,29.18,60700,3.73,151232,Computer User Support Specialists,4,60640-86950
Computer Network Architects(151241),110,56.18,116850,55.63,115700,1,151241,Computer Network Architects,5,88050-238990
Database Administrators(151242),80,49.4,102760,41.18,85660,0.717,151242,Database Administrators,4,60640-86950
Database Architects(151243),80,60.33,125480,60.1,125010,0.684,151243,Database Architects,5,88050-238990
Network and Computer Systems Administrators(151244),300,48.38,100630,45.98,95650,2.628,151244,Network and Computer Systems Administrators,5,88050-238990
Computer Programmers(151251),40,47.13,98030,46.71,97150,0.385,151251,Computer Programmers,5,88050-238990
Software Developers(151252),1470,59.81,124410,57.84,120310,13.029,151252,Software Developers,5,88050-238990
Software Quality Assurance Analysts and Testers(151253),180,48.03,99900,45.1,93820,1.596,151253,Software Quality Assurance Analysts and Testers,5,88050-238990
Web Developers(151254),120,43.74,90980,42.37,88120,1.104,151254,Web Developers,5,88050-238990
Web and Digital Interface Designers(151255),90,34.83,72440,29.62,61610,0.789,151255,Web and Digital Interface Designers,4,60640-86950
"Computer Occupations, All Other(151299)",130,51.86,107860,53.66,111610,1.177,151299,"Computer Occupations, All Other",5,88050-238990
Operations Research Analysts(152031),50,53.22,110700,46.84,97430,0.426,152031,Operations Research Analysts,5,88050-238990
Data Scientists(152051),140,57.65,119910,56.45,117410,1.244,152051,Data Scientists,5,88050-238990
"Architects, Except Landscape and Naval(171011)",160,45.91,95480,43.07,89590,1.385,171011,"Architects, Except Landscape and Naval",5,88050-238990
Landscape Architects(171012),60,36.09,75060,30.5,63440,0.498,171012,Landscape Architects,4,60640-86950
Surveyors(171022),40,30.89,64240,30.21,62830,0.381,171022,Surveyors,4,60640-86950
Bioengineers and Biomedical Engineers(172031),50,39.47,82090,38.33,79730,0.409,172031,Bioengineers and Biomedical Engineers,4,60640-86950
Civil Engineers(172051),190,46.04,95760,41.14,85570,1.695,172051,Civil Engineers,4,60640-86950
Electrical Engineers(172071),130,51.19,106470,48.03,99890,1.149,172071,Electrical Engineers,5,88050-238990
"Electronics Engineers, Except Computer(172072)",110,50.3,104620,48.58,101040,0.933,172072,"Electronics Engineers, Except Computer",5,88050-238990
Industrial Engineers(172112),70,48.38,100630,47.96,99750,0.615,172112,Industrial Engineers,5,88050-238990
Mechanical Engineers(172141),140,45.54,94730,43.08,89600,1.232,172141,Mechanical Engineers,5,88050-238990
"Engineers, All Other(172199)",50,54.25,112830,53.66,111610,0.432,172199,"Engineers, All Other",5,88050-238990
Architectural and Civil Drafters(173011),40,27.29,56760,27.58,57370,0.356,173011,Architectural and Civil Drafters,3,48340-60600
Civil Engineering Technologists and Technicians(173022),70,24.83,51650,22.26,46300,0.636,173022,Civil Engineering Technologists and Technicians,2,37860-48320
Electrical and Electronic Engineering Technologists and Technicians(173023),120,33.78,70270,30.86,64200,1.04,173023,Electrical and Electronic Engineering Technologists and Technicians,4,60640-86950
Surveying and Mapping Technicians(173031),60,23.1,48040,21.87,45490,0.521,173031,Surveying and Mapping Technicians,2,37860-48320
"Biological Scientists, All Other(191029)",60,40.97,85210,38.53,80140,0.493,191029,"Biological Scientists, All Other",4,60640-86950
Foresters(191032),30,33.05,68740,33.41,69490,0.3,191032,Foresters,4,60640-86950
"Medical Scientists, Except Epidemiologists(191042)",620,38.03,79110,29.78,61940,5.475,191042,"Medical Scientists, Except Epidemiologists",4,60640-86950
Astronomers(192011),80,54.73,113850,53.38,111020,0.692,192011,Astronomers,5,88050-238990
Physicists(192012),30,55.71,115870,49.75,103480,0.279,192012,Physicists,5,88050-238990
Chemists(192031),80,36.79,76530,38.71,80520,0.687,192031,Chemists,4,60640-86950
"Environmental Scientists and Specialists, Including Health(192041)",60,45.02,93640,44.68,92940,0.513,192041,"Environmental Scientists and Specialists, Including Health",5,88050-238990
"Geoscientists, Except Hydrologists and Geographers(192042)",30,28.69,59680,24.4,50760,0.266,192042,"Geoscientists, Except Hydrologists and Geographers",3,48340-60600
"Physical Scientists, All Other(192099)",80,55.2,114820,56.99,118540,0.711,192099,"Physical Scientists, All Other",5,88050-238990
Clinical and Counseling Psychologists(193033),80,47.68,99170,41.8,86950,0.672,193033,Clinical and Counseling Psychologists,4,60640-86950
Urban and Regional Planners(193051),50,35.37,73580,31.89,66340,0.428,193051,Urban and Regional Planners,4,60640-86950
"Social Scientists and Related Workers, All Other(193099)",380,54.49,113340,55.24,114900,3.345,193099,"Social Scientists and Related Workers, All Other",5,88050-238990
Biological Technicians(194021),260,27.03,56230,24.88,51750,2.334,194021,Biological Technicians,3,48340-60600
Chemical Technicians(194031),100,25.76,53580,24.18,50300,0.917,194031,Chemical Technicians,3,48340-60600
"Environmental Science and Protection Technicians, Including Health(194042)",50,27.22,56620,30.32,63070,0.473,194042,"Environmental Science and Protection Technicians, Including Health",4,60640-86950
Social Science Research Assistants(194061),90,25.94,53960,23.58,49040,0.773,194061,Social Science Research Assistants,3,48340-60600
"Life, Physical, and Social Science Technicians, All Other(194099)",NA,25.76,53570,24.17,50270,NA,194099,"Life, Physical, and Social Science Technicians, All Other",3,48340-60600
Occupational Health and Safety Specialists(195011),70,36.67,76270,36.34,75590,0.601,195011,Occupational Health and Safety Specialists,4,60640-86950
"Educational, Guidance, and Career Counselors and Advisors(211012)",400,29.35,61050,29,60320,3.561,211012,"Educational, Guidance, and Career Counselors and Advisors",3,48340-60600
Marriage and Family Therapists(211013),40,45.15,93900,47.53,98860,0.353,211013,Marriage and Family Therapists,5,88050-238990
Rehabilitation Counselors(211015),80,24.54,51050,22.03,45810,0.683,211015,Rehabilitation Counselors,2,37860-48320
"Substance abuse, behavioral disorder, and mental health counselors(211018)",270,26.72,55590,23.95,49820,2.436,211018,"Substance abuse, behavioral disorder, and mental health counselors",3,48340-60600
"Child, Family, and School Social Workers(211021)",280,27.68,57570,25.91,53890,2.444,211021,"Child, Family, and School Social Workers",3,48340-60600
Healthcare Social Workers(211022),160,30.11,62640,29.44,61230,1.43,211022,Healthcare Social Workers,4,60640-86950
Mental Health and Substance Abuse Social Workers(211023),60,26.8,55740,27.59,57390,0.556,211023,Mental Health and Substance Abuse Social Workers,3,48340-60600
Social and Human Service Assistants(211093),310,20.15,41910,19.08,39680,2.776,211093,Social and Human Service Assistants,2,37860-48320
"Community and Social Service Specialists, All Other(211099)",50,27.6,57400,27.08,56330,0.48,211099,"Community and Social Service Specialists, All Other",3,48340-60600
Clergy(212011),50,26.7,55540,27.93,58090,0.443,212011,Clergy,3,48340-60600
Lawyers(231011),390,77.03,160230,67.48,140360,3.434,231011,Lawyers,5,88050-238990
Paralegals and Legal Assistants(232011),220,27.72,57660,28.69,59660,1.935,232011,Paralegals and Legal Assistants,3,48340-60600
"Title Examiners, Abstractors, and Searchers(232093)",50,25.49,53010,22.86,47550,0.478,232093,"Title Examiners, Abstractors, and Searchers",2,37860-48320
"Legal Support Workers, All Other(232099)",40,53.47,111210,54.06,112440,0.329,232099,"Legal Support Workers, All Other",5,88050-238990
"Biological Science Teachers, Postsecondary(251042)",120,NA,128000,NA,130650,1.026,251042,"Biological Science Teachers, Postsecondary",5,88050-238990
"Health Specialties Teachers, Postsecondary(251071)",NA,NA,157350,NA,129110,NA,251071,"Health Specialties Teachers, Postsecondary",5,88050-238990
"Nursing Instructors and Teachers, Postsecondary(251072)",100,NA,97950,NA,104270,0.905,251072,"Nursing Instructors and Teachers, Postsecondary",5,88050-238990
"English Language and Literature Teachers, Postsecondary(251123)",180,NA,106800,NA,108000,1.572,251123,"English Language and Literature Teachers, Postsecondary",5,88050-238990
"Career/Technical Education Teachers, Postsecondary(251194)",70,32.85,68340,31.72,65980,0.589,251194,"Career/Technical Education Teachers, Postsecondary",4,60640-86950
"Preschool Teachers, Except Special Education(252011)",270,20.48,42600,18.08,37610,2.36,252011,"Preschool Teachers, Except Special Education",1,25610-37760
"Kindergarten Teachers, Except Special Education(252012)",130,NA,59540,NA,56310,1.122,252012,"Kindergarten Teachers, Except Special Education",3,48340-60600
"Elementary School Teachers, Except Special Education(252021)",1040,NA,60050,NA,59260,9.224,252021,"Elementary School Teachers, Except Special Education",3,48340-60600
"Middle School Teachers, Except Special and Career/Technical Education(252022)",610,NA,62680,NA,62290,5.445,252022,"Middle School Teachers, Except Special and Career/Technical Education",4,60640-86950
"Secondary School Teachers, Except Special and Career/Technical Education(252031)",820,NA,64110,NA,60600,7.238,252031,"Secondary School Teachers, Except Special and Career/Technical Education",3,48340-60600
"Career/Technical Education Teachers, Secondary School(252032)",110,NA,68190,NA,62720,0.975,252032,"Career/Technical Education Teachers, Secondary School",4,60640-86950
"Special Education Teachers, Preschool(252051)",30,NA,58170,NA,53280,0.302,252051,"Special Education Teachers, Preschool",3,48340-60600
"Special Education Teachers, Kindergarten and Elementary School(252052)",170,NA,63640,NA,60950,1.475,252052,"Special Education Teachers, Kindergarten and Elementary School",4,60640-86950
"Special Education Teachers, Middle School(252057)",80,NA,61930,NA,58640,0.676,252057,"Special Education Teachers, Middle School",3,48340-60600
"Special Education Teachers, Secondary School(252058)",180,NA,60260,NA,56580,1.563,252058,"Special Education Teachers, Secondary School",3,48340-60600
Self-Enrichment Teachers(253021),190,26.35,54800,22.48,46760,1.694,253021,Self-Enrichment Teachers,2,37860-48320
"Substitute Teachers, Short-Term(253031)",530,19.17,39870,16.65,34640,4.744,253031,"Substitute Teachers, Short-Term",1,25610-37760
Tutors(253041),90,24.23,50390,19.79,41170,0.771,253041,Tutors,2,37860-48320
Librarians and Media Collections Specialists(254022),260,35.63,74100,35.26,73330,2.281,254022,Librarians and Media Collections Specialists,4,60640-86950
Library Technicians(254031),110,22.12,46010,21.57,44870,1.019,254031,Library Technicians,2,37860-48320
Instructional Coordinators(259031),280,38.95,81020,39.01,81130,2.5,259031,Instructional Coordinators,4,60640-86950
"Teaching Assistants, Postsecondary(259044)",NA,NA,50090,NA,48190,NA,259044,"Teaching Assistants, Postsecondary",2,37860-48320
"Teaching Assistants, Except Postsecondary(259045)",1010,NA,37400,NA,35250,8.932,259045,"Teaching Assistants, Except Postsecondary",1,25610-37760
"Educational Instruction and Library Workers, All Other(259099)",80,25.98,54030,23.35,48570,0.705,259099,"Educational Instruction and Library Workers, All Other",3,48340-60600
Art Directors(271011),40,38.82,80750,38.08,79210,0.327,271011,Art Directors,4,60640-86950
Floral Designers(271023),30,17.58,36560,17.36,36120,0.273,271023,Floral Designers,1,25610-37760
Graphic Designers(271024),220,27.9,58040,24.96,51920,1.92,271024,Graphic Designers,3,48340-60600
Interior Designers(271025),40,30.32,63070,27.97,58180,0.35,271025,Interior Designers,3,48340-60600
Merchandise Displayers and Window Trimmers(271026),150,17.81,37040,17.79,37010,1.297,271026,Merchandise Displayers and Window Trimmers,1,25610-37760
Producers and Directors(272012),80,29.56,61470,25.33,52690,0.725,272012,Producers and Directors,3,48340-60600
Coaches and Scouts(272022),260,NA,65090,NA,47830,2.344,272022,Coaches and Scouts,2,37860-48320
"Umpires, Referees, and Other Sports Officials(272023)",50,NA,41100,NA,36060,0.425,272023,"Umpires, Referees, and Other Sports Officials",1,25610-37760
"News Analysts, Reporters, and Journalists(273023)",40,23.79,49470,19.25,40040,0.345,273023,"News Analysts, Reporters, and Journalists",2,37860-48320
Editors(273041),210,33.15,68950,29.93,62250,1.85,273041,Editors,4,60640-86950
Technical Writers(273042),40,43.02,89490,42.37,88120,0.388,273042,Technical Writers,5,88050-238990
Writers and Authors(273043),60,36.5,75910,29.87,62120,0.535,273043,Writers and Authors,4,60640-86950
Interpreters and Translators(273091),NA,37.64,78290,29.15,60640,NA,273091,Interpreters and Translators,4,60640-86950
Audio and Video Technicians(274011),70,36.13,75150,30.86,64200,0.657,274011,Audio and Video Technicians,4,60640-86950
Photographers(274021),40,23.44,48750,22.76,47330,0.391,274021,Photographers,2,37860-48320
"Dentists, General(291021)",80,89.34,185840,81.71,169950,0.691,291021,"Dentists, General",5,88050-238990
Dietitians and Nutritionists(291031),40,30.08,62570,29.94,62280,0.388,291031,Dietitians and Nutritionists,4,60640-86950
Pharmacists(291051),320,69.74,145050,65.55,136340,2.816,291051,Pharmacists,5,88050-238990
Physician Assistants(291071),80,56.24,116970,59.61,123980,0.75,291071,Physician Assistants,5,88050-238990
Occupational Therapists(291122),120,46.39,96500,46.34,96380,1.096,291122,Occupational Therapists,5,88050-238990
Physical Therapists(291123),280,48.64,101170,47.99,99820,2.504,291123,Physical Therapists,5,88050-238990
Respiratory Therapists(291126),120,36.6,76120,38.73,80550,1.086,291126,Respiratory Therapists,4,60640-86950
Speech-Language Pathologists(291127),90,44.61,92790,42.85,89120,0.824,291127,Speech-Language Pathologists,5,88050-238990
Veterinarians(291131),100,58.11,120870,50.96,105990,0.857,291131,Veterinarians,5,88050-238990
Registered Nurses(291141),3170,42.6,88610,39.19,81510,28.108,291141,Registered Nurses,4,60640-86950
Nurse Anesthetists(291151),90,103.08,214400,107.83,224290,0.815,291151,Nurse Anesthetists,5,88050-238990
Nurse Practitioners(291171),500,61.39,127680,64.84,134870,4.45,291171,Nurse Practitioners,5,88050-238990
Family Medicine Physicians(291215),70,99.53,207020,101.43,210970,0.663,291215,Family Medicine Physicians,5,88050-238990
"Physicians, All Other(291229)",1020,106.48,221490,99.45,206860,9.069,291229,"Physicians, All Other",5,88050-238990
Dental Hygienists(291292),130,42.96,89360,44.23,92000,1.173,291292,Dental Hygienists,5,88050-238990
Clinical Laboratory Technologists and Technicians(292010),210,28.82,59940,27.1,56380,1.907,292010,Clinical Laboratory Technologists and Technicians,3,48340-60600
Radiologic Technologists and Technicians(292034),160,36.86,76680,35.65,74140,1.447,292034,Radiologic Technologists and Technicians,4,60640-86950
Emergency Medical Technicians(292042),190,19.81,41200,17.76,36940,1.657,292042,Emergency Medical Technicians,1,25610-37760
Paramedics(292043),80,24.51,50990,24.27,50480,0.684,292043,Paramedics,3,48340-60600
Dietetic Technicians(292051),NA,15.27,31760,14.12,29370,NA,292051,Dietetic Technicians,1,25610-37760
Pharmacy Technicians(292052),430,21.14,43970,21.39,44480,3.775,292052,Pharmacy Technicians,2,37860-48320
Surgical Technologists(292055),140,31.24,64980,30.23,62880,1.202,292055,Surgical Technologists,4,60640-86950
Veterinary Technologists and Technicians(292056),110,23.96,49840,23.68,49250,0.952,292056,Veterinary Technologists and Technicians,3,48340-60600
Ophthalmic Medical Technicians(292057),100,21.14,43970,19.45,40460,0.92,292057,Ophthalmic Medical Technicians,2,37860-48320
Licensed Practical and Licensed Vocational Nurses(292061),500,28.18,58610,29.38,61120,4.398,292061,Licensed Practical and Licensed Vocational Nurses,4,60640-86950
Medical Records Specialists(292072),200,26.22,54530,26.15,54390,1.797,292072,Medical Records Specialists,3,48340-60600
"Opticians, Dispensing(292081)",90,26.49,55110,28.41,59090,0.785,292081,"Opticians, Dispensing",3,48340-60600
"Health Technologists and Technicians, All Other(292099)",100,30.67,63790,24.08,50080,0.866,292099,"Health Technologists and Technicians, All Other",3,48340-60600
Athletic Trainers(299091),50,NA,61710,NA,61670,0.403,299091,Athletic Trainers,4,60640-86950
"Healthcare Practitioners and Technical Workers, All Other(299099)",40,34.75,72280,38.41,79890,0.385,299099,"Healthcare Practitioners and Technical Workers, All Other",4,60640-86950
Home Health and Personal Care Aides(311120),1750,13.79,28690,12.85,26720,15.519,311120,Home Health and Personal Care Aides,1,25610-37760
Nursing Assistants(311131),1710,18.23,37930,17.98,37400,15.181,311131,Nursing Assistants,1,25610-37760
Orderlies(311132),100,16.55,34430,15.34,31910,0.871,311132,Orderlies,1,25610-37760
Physical Therapist Assistants(312021),80,30.52,63480,30,62390,0.712,312021,Physical Therapist Assistants,4,60640-86950
Physical Therapist Aides(312022),50,15.5,32240,16.05,33380,0.425,312022,Physical Therapist Aides,1,25610-37760
Massage Therapists(319011),100,32.13,66830,23.25,48370,0.914,319011,Massage Therapists,3,48340-60600
Dental Assistants(319091),260,21.9,45540,21.94,45640,2.274,319091,Dental Assistants,2,37860-48320
Medical Assistants(319092),400,19.53,40620,18.99,39500,3.593,319092,Medical Assistants,2,37860-48320
Veterinary Assistants and Laboratory Animal Caretakers(319096),270,16.75,34830,16.29,33890,2.408,319096,Veterinary Assistants and Laboratory Animal Caretakers,1,25610-37760
Phlebotomists(319097),80,19.63,40840,18.08,37600,0.74,319097,Phlebotomists,1,25610-37760
"Healthcare Support Workers, All Other(319099)",230,20,41600,18.22,37900,2.012,319099,"Healthcare Support Workers, All Other",2,37860-48320
First-Line Supervisors of Correctional Officers(331011),170,29.93,62250,27.29,56760,1.533,331011,First-Line Supervisors of Correctional Officers,3,48340-60600
First-Line Supervisors of Police and Detectives(331012),100,43.12,89690,42.36,88110,0.932,331012,First-Line Supervisors of Police and Detectives,5,88050-238990
First-Line Supervisors of Firefighting and Prevention Workers(331021),40,31.02,64510,23.68,49240,0.33,331021,First-Line Supervisors of Firefighting and Prevention Workers,3,48340-60600
"First-Line Supervisors of Protective Service Workers, All Other(331099)",30,30.36,63150,30.88,64240,0.289,331099,"First-Line Supervisors of Protective Service Workers, All Other",4,60640-86950
Firefighters(332011),310,20.12,41840,18.74,38990,2.782,332011,Firefighters,2,37860-48320
Correctional Officers and Jailers(333012),570,23.47,48820,22.52,46840,5.032,333012,Correctional Officers and Jailers,2,37860-48320
Detectives and Criminal Investigators(333021),150,33.11,68860,24.14,50210,1.324,333021,Detectives and Criminal Investigators,3,48340-60600
Police and Sheriff's Patrol Officers(333051),420,28.27,58810,27.01,56190,3.766,333051,Police and Sheriff's Patrol Officers,3,48340-60600
Security Guards(339032),350,19.85,41280,18.23,37920,3.098,339032,Security Guards,2,37860-48320
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers(339092)",130,14.12,29360,13.96,29040,1.14,339092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",1,25610-37760
Transportation Security Screeners(339093),30,22.52,46840,20.44,42520,0.293,339093,Transportation Security Screeners,2,37860-48320
"Protective Service Workers, All Other(339099)",50,24.21,50360,24.41,50780,0.447,339099,"Protective Service Workers, All Other",3,48340-60600
Chefs and Head Cooks(351011),180,26.85,55860,25,52000,1.583,351011,Chefs and Head Cooks,3,48340-60600
First-Line Supervisors of Food Preparation and Serving Workers(351012),970,21.76,45250,21.46,44630,8.645,351012,First-Line Supervisors of Food Preparation and Serving Workers,2,37860-48320
"Cooks, Fast Food(352011)",390,14.44,30040,13.87,28840,3.452,352011,"Cooks, Fast Food",1,25610-37760
"Cooks, Institution and Cafeteria(352012)",420,17.34,36080,17.41,36210,3.753,352012,"Cooks, Institution and Cafeteria",1,25610-37760
"Cooks, Restaurant(352014)",1280,16.67,34670,16.8,34950,11.379,352014,"Cooks, Restaurant",1,25610-37760
"Cooks, Short Order(352015)",80,15.55,32350,14.72,30620,0.685,352015,"Cooks, Short Order",1,25610-37760
Food Preparation Workers(352021),520,15.13,31460,14.07,29260,4.603,352021,Food Preparation Workers,1,25610-37760
Bartenders(353011),520,22.17,46120,20.5,42640,4.609,353011,Bartenders,2,37860-48320
Fast Food and Counter Workers(353023),2740,14.85,30890,14.03,29190,24.331,353023,Fast Food and Counter Workers,1,25610-37760
Waiters and Waitresses(353031),2010,17.99,37410,15.9,33060,17.82,353031,Waiters and Waitresses,1,25610-37760
"Food Servers, Nonrestaurant(353041)",250,14.92,31030,14.12,29370,2.242,353041,"Food Servers, Nonrestaurant",1,25610-37760
Dining Room and Cafeteria Attendants and Bartender Helpers(359011),300,14.96,31110,13.9,28900,2.646,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,1,25610-37760
Dishwashers(359021),400,14.5,30160,14.1,29330,3.523,359021,Dishwashers,1,25610-37760
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop(359031)",350,14.41,29970,13.26,27570,3.074,359031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1,25610-37760
First-Line Supervisors of Housekeeping and Janitorial Workers(371011),170,22.86,47550,22.1,45970,1.502,371011,First-Line Supervisors of Housekeeping and Janitorial Workers,2,37860-48320
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers(371012)",130,28.54,59350,27.11,56380,1.174,371012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3,48340-60600
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners(372011)",1050,15.78,32820,14.51,30180,9.312,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1,25610-37760
Maids and Housekeeping Cleaners(372012),1300,15.39,32010,15.75,32770,11.556,372012,Maids and Housekeeping Cleaners,1,25610-37760
Pest Control Workers(372021),60,21.87,45500,20.5,42630,0.571,372021,Pest Control Workers,2,37860-48320
Landscaping and Groundskeeping Workers(373011),950,18.19,37830,17.64,36700,8.433,373011,Landscaping and Groundskeeping Workers,1,25610-37760
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services(391014)",90,21.52,44770,21.38,44470,0.822,391014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",2,37860-48320
First-Line Supervisors of Personal Service Workers(391022),120,23.1,48050,22.21,46200,1.073,391022,First-Line Supervisors of Personal Service Workers,2,37860-48320
Animal Caretakers(392021),320,15.67,32600,14.27,29680,2.818,392021,Animal Caretakers,1,25610-37760
