GEOID,locality,tract,tractnames,year,self_suff_wage,ssw_group,estimate,moe,total_families,percent
51003011303,Albemarle County,Census Tract 113.03,Avon Street Ext.-Mill Creek,2022,"~$60,000",above,813,169.62605931872613,930,87.42
51003011303,Albemarle County,Census Tract 113.03,Avon Street Ext.-Mill Creek,2022,"~$60,000",below,117,65.75712889109438,930,12.58
51003011400,Albemarle County,Census Tract 114,Southern Albemarle-Scottsville,2022,"~$60,000",above,907,190.63840116828507,1276,71.08
51003011400,Albemarle County,Census Tract 114,Southern Albemarle-Scottsville,2022,"~$60,000",below,369,122.37646832622684,1276,28.92
51065020101,Fluvanna County,Census Tract 201.01,Palmyra,2022,"~$60,000",above,1311,299.8716392058442,1596,82.14
51065020101,Fluvanna County,Census Tract 201.01,Palmyra,2022,"~$60,000",below,285,129.43724348115578,1596,17.86
51065020103,Fluvanna County,Census Tract 201.03,Lake Monticello,2022,"~$60,000",above,831,219.8977034895999,1037,80.14
51065020103,Fluvanna County,Census Tract 201.03,Lake Monticello,2022,"~$60,000",below,206,101.28672173587218,1037,19.86
51065020104,Fluvanna County,Census Tract 201.04,Rivanna,2022,"~$60,000",above,1554,285.5748588373984,1865,83.32
51065020104,Fluvanna County,Census Tract 201.04,Rivanna,2022,"~$60,000",below,311,143.86451960090784,1865,16.68
51065020200,Fluvanna County,Census Tract 202,Columbia/Fork Union,2022,"~$60,000",above,845,243.10491562286435,1340,63.06
51065020200,Fluvanna County,Census Tract 202,Columbia/Fork Union,2022,"~$60,000",below,495,198.75110062588334,1340,36.94
51065020300,Fluvanna County,Census Tract 203,Cunningham,2022,"~$60,000",above,1312,290.86766750534514,1594,82.31
51065020300,Fluvanna County,Census Tract 203,Cunningham,2022,"~$60,000",below,282,116.77328461596,1594,17.69
51079030101,Greene County,Census Tract 301.01,Stanardsville,2022,"~$60,000",above,697,171.51093259614677,1105,63.08
51079030101,Greene County,Census Tract 301.01,Stanardsville,2022,"~$60,000",below,408,140.68048905232027,1105,36.92
51079030102,Greene County,Census Tract 301.02,Monroe,2022,"~$60,000",above,958,260.286380742443,1356,70.65
51079030102,Greene County,Census Tract 301.02,Monroe,2022,"~$60,000",below,398,155.1064150833227,1356,29.35
51079030201,Greene County,Census Tract 302.01,Midway,2022,"~$60,000",above,1817,352.7492026922244,2141,84.87
51079030201,Greene County,Census Tract 302.01,Midway,2022,"~$60,000",below,324,132.92479076530458,2141,15.13
51079030202,Greene County,Census Tract 302.02,Ruckersville,2022,"~$60,000",above,969,256.1601061836132,1151,84.19
51079030202,Greene County,Census Tract 302.02,Ruckersville,2022,"~$60,000",below,182,115.70652531296582,1151,15.81
51125950101,Nelson County,Census Tract 9501.01,Wintergreen-Wingina,2022,"~$60,000",above,469,171.23667831396403,808,58.04
51125950101,Nelson County,Census Tract 9501.01,Wintergreen-Wingina,2022,"~$60,000",below,339,144.79640879524604,808,41.96
51125950102,Nelson County,Census Tract 9501.02,Lovingston,2022,"~$60,000",above,336,136.49542116862384,558,60.22
51125950102,Nelson County,Census Tract 9501.02,Lovingston,2022,"~$60,000",below,222,102.9465880930495,558,39.78
51125950201,Nelson County,Census Tract 9502.01,Afton-Schuyler,2022,"~$60,000",above,447,142.89506639488994,619,72.21
51125950201,Nelson County,Census Tract 9502.01,Afton-Schuyler,2022,"~$60,000",below,172,97.11333585043818,619,27.79
51125950202,Nelson County,Census Tract 9502.02,Wintergreen-Rockfish Valley,2022,"~$60,000",above,731,199.8949724230202,907,80.6
51125950202,Nelson County,Census Tract 9502.02,Wintergreen-Rockfish Valley,2022,"~$60,000",below,176,98.90904913100722,907,19.4
51125950300,Nelson County,Census Tract 9503,Roseland,2022,"~$60,000",above,654,150.77798247754876,1023,63.93
51125950300,Nelson County,Census Tract 9503,Roseland,2022,"~$60,000",below,369,150.3030272482893,1023,36.07
51540000201,Charlottesville city,Census Tract 2.01,Rose Hill-Harris-Venable,2022,"~$60,000",above,389,131.93938001976514,611,63.67
51540000201,Charlottesville city,Census Tract 2.01,Rose Hill-Harris-Venable,2022,"~$60,000",below,222,136.44779221372548,611,36.33
51540000202,Charlottesville city,Census Tract 2.02,10th & Page-Venable,2022,"~$60,000",above,193,123.25583150504482,549,35.15
51540000202,Charlottesville city,Census Tract 2.02,10th & Page-Venable,2022,"~$60,000",below,356,170.88300090997933,549,64.85
51540000302,Charlottesville city,Census Tract 3.02,Woolen Mills,2022,"~$60,000",above,535,159.27021064844487,805,66.46
51540000302,Charlottesville city,Census Tract 3.02,Woolen Mills,2022,"~$60,000",below,270,141.0070920202243,805,33.54
51540000401,Charlottesville city,Census Tract 4.01,Ridge St.,2022,"~$60,000",above,577,127.50294114254777,818,70.54
51540000401,Charlottesville city,Census Tract 4.01,Ridge St.,2022,"~$60,000",below,241,114.64728518373211,818,29.46
51540000402,Charlottesville city,Census Tract 4.02,Belmont,2022,"~$60,000",above,717,202.17813927326566,962,74.53
51540000402,Charlottesville city,Census Tract 4.02,Belmont,2022,"~$60,000",below,245,120.30793822520607,962,25.47
51540000501,Charlottesville city,Census Tract 5.01,Fifeville-Cherry Avenue,2022,"~$60,000",above,367,123.0690862889621,716,51.26
51540000501,Charlottesville city,Census Tract 5.01,Fifeville-Cherry Avenue,2022,"~$60,000",below,349,145.10341140028376,716,48.74
51540000502,Charlottesville city,Census Tract 5.02,Fry's Springs,2022,"~$60,000",above,926,223.72080815158878,1176,78.74
51540000502,Charlottesville city,Census Tract 5.02,Fry's Springs,2022,"~$60,000",below,250,143.29340529138108,1176,21.26
51540000600,Charlottesville city,Census Tract 6,JPA-Fontaine,2022,"~$60,000",above,133,67.64613810115105,195,68.21
51540000600,Charlottesville city,Census Tract 6,JPA-Fontaine,2022,"~$60,000",below,62,54.62600113499065,195,31.79
51540000700,Charlottesville city,Census Tract 7,Barracks-Rugby,2022,"~$60,000",above,571,119.86659251017358,643,88.8
51540000700,Charlottesville city,Census Tract 7,Barracks-Rugby,2022,"~$60,000",below,72,55.46169849544819,643,11.2
51540000800,Charlottesville city,Census Tract 8,Greenbrier-Meadows,2022,"~$60,000",above,777,168.63570203251743,953,81.53
51540000800,Charlottesville city,Census Tract 8,Greenbrier-Meadows,2022,"~$60,000",below,176,84.1843215806839,953,18.47
51540000900,Charlottesville city,Census Tract 9,Locust Grove,2022,"~$60,000",above,460,114.70396680150168,478,96.23
51540000900,Charlottesville city,Census Tract 9,Locust Grove,2022,"~$60,000",below,18,40.59556626036888,478,3.77
51540001000,Charlottesville city,Census Tract 10,Downtown Area,2022,"~$60,000",above,787,266.14657615682376,899,87.54
51540001000,Charlottesville city,Census Tract 10,Downtown Area,2022,"~$60,000",below,112,83.24662155306964,899,12.46
51109950101,Louisa County,Census Tract 9501.01,Bumpus-Mountain Road District-Buckner,2022,"~$50,000",above,571,184.87022475239218,665,85.86
51109950101,Louisa County,Census Tract 9501.01,Bumpus-Mountain Road District-Buckner,2022,"~$50,000",below,94,70.19971509913698,665,14.14
51109950102,Louisa County,Census Tract 9501.02,Cuckoo District,2022,"~$50,000",above,1043,245.63590942694026,1528,68.26
51109950102,Louisa County,Census Tract 9501.02,Cuckoo District,2022,"~$50,000",below,485,197.86864329650618,1528,31.74
51109950201,Louisa County,Census Tract 9502.01,Town of Louisa,2022,"~$50,000",above,1010,251.89481931949294,1405,71.89
51109950201,Louisa County,Census Tract 9502.01,Town of Louisa,2022,"~$50,000",below,395,134.84435472054437,1405,28.11
51109950202,Louisa County,Census Tract 9502.02,Mineral,2022,"~$50,000",above,1022,223.70069289119334,1350,75.7
51109950202,Louisa County,Census Tract 9502.02,Mineral,2022,"~$50,000",below,328,135.4695537750088,1350,24.3
51109950301,Louisa County,Census Tract 9503.01,Zion Crossroads,2022,"~$50,000",above,1060,217.83020910791964,1209,87.68
51109950301,Louisa County,Census Tract 9503.01,Zion Crossroads,2022,"~$50,000",below,149,111.6288493177279,1209,12.32
51109950302,Louisa County,Census Tract 9503.02,Green Springs,2022,"~$50,000",above,809,267.1778433927484,958,84.45
51109950302,Louisa County,Census Tract 9503.02,Green Springs,2022,"~$50,000",below,149,93.11820445004295,958,15.55
51109950303,Louisa County,Census Tract 9503.03,Trevillians,2022,"~$50,000",above,554,161.21414330014596,658,84.19
51109950303,Louisa County,Census Tract 9503.03,Trevillians,2022,"~$50,000",below,104,66.64833081180653,658,15.81
51109950400,Louisa County,Census Tract 9504,Ferncliff-Shannon Hill (Yanceyville),2022,"~$50,000",above,631,162.3360711610331,901,70.03
51109950400,Louisa County,Census Tract 9504,Ferncliff-Shannon Hill (Yanceyville),2022,"~$50,000",below,270,118.3934119788766,901,29.97
51109950500,Louisa County,Census Tract 9505,Gum Springs-Holly Grove,2022,"~$50,000",above,1444,313.97929868066143,1880,76.81
51109950500,Louisa County,Census Tract 9505,Gum Springs-Holly Grove,2022,"~$50,000",below,436,213.36353952819587,1880,23.19
51029930101,Buckingham County,Census Tract 9301.01,James River,2022,"~$45,000",above,642,147.40759817594207,978,65.64
51029930101,Buckingham County,Census Tract 9301.01,James River,2022,"~$45,000",below,336,119.86659251017358,978,34.36
51029930102,Buckingham County,Census Tract 9301.02,New Canton,2022,"~$45,000",above,538,148.10806865258894,741,72.6
51029930102,Buckingham County,Census Tract 9301.02,New Canton,2022,"~$45,000",below,203,89.37561188601732,741,27.4
51029930201,Buckingham County,Census Tract 9302.01,Dillwyn,2022,"~$45,000",above,820,182.87700784953805,1125,72.89
51029930201,Buckingham County,Census Tract 9302.01,Dillwyn,2022,"~$45,000",below,305,119.3984924527944,1125,27.11
51029930202,Buckingham County,Census Tract 9302.02,Mount Rush,2022,"~$45,000",above,947,186.27667594199764,1131,83.73
51029930202,Buckingham County,Census Tract 9302.02,Mount Rush,2022,"~$45,000",below,184,76.1774244773345,1131,16.27
