GEOID,locality,tract,label,estimate,moe,year,county,tractnames
51065020200,Fluvanna County,Census Tract 202,Median Family Income,69013,10814,2022,Fluvanna,Columbia/Fork Union
51065020300,Fluvanna County,Census Tract 203,Median Family Income,105655,6089,2022,Fluvanna,Cunningham
51079030101,Greene County,Census Tract 301.01,Median Family Income,71902,8567,2022,Greene,Stanardsville
51079030102,Greene County,Census Tract 301.02,Median Family Income,87591,10447,2022,Greene,Monroe
51079030201,Greene County,Census Tract 302.01,Median Family Income,117703,8458,2022,Greene,Midway
51079030202,Greene County,Census Tract 302.02,Median Family Income,80676,24883,2022,Greene,Ruckersville
51109950101,Louisa County,Census Tract 9501.01,Median Family Income,126681,54218,2022,Louisa,Bumpus-Mountain Road District-Buckner
51109950102,Louisa County,Census Tract 9501.02,Median Family Income,86172,19556,2022,Louisa,Cuckoo District
51109950201,Louisa County,Census Tract 9502.01,Median Family Income,74161,10069,2022,Louisa,Town of Louisa
51109950202,Louisa County,Census Tract 9502.02,Median Family Income,88077,17927,2022,Louisa,Mineral
51109950301,Louisa County,Census Tract 9503.01,Median Family Income,115417,21764,2022,Louisa,Zion Crossroads
51109950302,Louisa County,Census Tract 9503.02,Median Family Income,112348,42273,2022,Louisa,Green Springs
51109950303,Louisa County,Census Tract 9503.03,Median Family Income,82054,26497,2022,Louisa,Trevillians
51109950400,Louisa County,Census Tract 9504,Median Family Income,70170,21692,2022,Louisa,Ferncliff-Shannon Hill (Yanceyville)
51109950500,Louisa County,Census Tract 9505,Median Family Income,92546,13105,2022,Louisa,Gum Springs-Holly Grove
51125950101,Nelson County,Census Tract 9501.01,Median Family Income,63250,18975,2022,Nelson,Wintergreen-Wingina
51125950102,Nelson County,Census Tract 9501.02,Median Family Income,80976,14756,2022,Nelson,Lovingston
51125950201,Nelson County,Census Tract 9502.01,Median Family Income,100662,21183,2022,Nelson,Afton-Schuyler
51125950202,Nelson County,Census Tract 9502.02,Median Family Income,137569,51121,2022,Nelson,Wintergreen-Rockfish Valley
51125950300,Nelson County,Census Tract 9503,Median Family Income,79206,8239,2022,Nelson,Roseland
51540000201,Charlottesville city,Census Tract 2.01,Median Family Income,92083,36327,2022,Charlottesville,Rose Hill-Harris-Venable
51540000202,Charlottesville city,Census Tract 2.02,Median Family Income,NA,NA,2022,Charlottesville,10th & Page-Venable
51540000302,Charlottesville city,Census Tract 3.02,Median Family Income,90299,18330,2022,Charlottesville,Woolen Mills
51540000401,Charlottesville city,Census Tract 4.01,Median Family Income,111513,10983,2022,Charlottesville,Ridge St.
51540000402,Charlottesville city,Census Tract 4.02,Median Family Income,104844,27695,2022,Charlottesville,Belmont
51540000501,Charlottesville city,Census Tract 5.01,Median Family Income,61023,14404,2022,Charlottesville,Fifeville-Cherry Avenue
51540000502,Charlottesville city,Census Tract 5.02,Median Family Income,117721,33996,2022,Charlottesville,Fry's Springs
51540000600,Charlottesville city,Census Tract 6,Median Family Income,90724,22822,2022,Charlottesville,JPA-Fontaine
51540000700,Charlottesville city,Census Tract 7,Median Family Income,222375,54366,2022,Charlottesville,Barracks-Rugby
51540000800,Charlottesville city,Census Tract 8,Median Family Income,125264,8362,2022,Charlottesville,Greenbrier-Meadows
51540000900,Charlottesville city,Census Tract 9,Median Family Income,128000,49004,2022,Charlottesville,Locust Grove
51540001000,Charlottesville city,Census Tract 10,Median Family Income,168542,70473,2022,Charlottesville,Downtown Area
