GEOID,locality,year,group,ssw_group,estimate,moe,total_families,percent
51079,"Greene County, Virginia",2022,"White, Not Hispanic",poverty,234,134,4890,4.79
51109,"Louisa County, Virginia",2022,All Families,above,8144,647.4859071825425,10554,77.17
51109,"Louisa County, Virginia",2022,All Families,below,2410,412.3905915512622,10554,22.83
51109,"Louisa County, Virginia",2022,All Families,poverty,742,216,10554,7.03
51109,"Louisa County, Virginia",2022,Black,above,706,214.40615662802222,1310,53.89
51109,"Louisa County, Virginia",2022,Black,below,604,204.2278139725341,1310,46.11
51109,"Louisa County, Virginia",2022,Black,poverty,263,106,1310,20.08
51109,"Louisa County, Virginia",2022,Hispanic,above,119,83.77947242612596,153,77.78
51109,"Louisa County, Virginia",2022,Hispanic,below,34,77.70456872024965,153,22.22
51109,"Louisa County, Virginia",2022,Hispanic,poverty,25,34,153,16.34
51109,"Louisa County, Virginia",2022,"White, Not Hispanic",above,7059,597.7892605258144,8762,80.56
51109,"Louisa County, Virginia",2022,"White, Not Hispanic",below,1703,336.753619134227,8762,19.44
51109,"Louisa County, Virginia",2022,"White, Not Hispanic",poverty,431,165,8762,4.92
51125,"Nelson County, Virginia",2022,All Families,above,2637,358.69903819218695,3915,67.36
51125,"Nelson County, Virginia",2022,All Families,below,1278,268.100727339558,3915,32.64
51125,"Nelson County, Virginia",2022,All Families,poverty,358,160,3915,9.14
51125,"Nelson County, Virginia",2022,Black,above,261,138.4160395329963,390,66.92
51125,"Nelson County, Virginia",2022,Black,below,129,86.77557259966655,390,33.08
51125,"Nelson County, Virginia",2022,Black,poverty,12,20,390,3.08
51125,"Nelson County, Virginia",2022,Hispanic,above,90,84.02380615040002,130,69.23
51125,"Nelson County, Virginia",2022,Hispanic,below,40,76.27581530209953,130,30.77
51125,"Nelson County, Virginia",2022,Hispanic,poverty,0,21,130,0
51125,"Nelson County, Virginia",2022,"White, Not Hispanic",above,2271,327.33316361163287,3340,67.99
51125,"Nelson County, Virginia",2022,"White, Not Hispanic",below,1069,245.9288514997783,3340,32.01
51125,"Nelson County, Virginia",2022,"White, Not Hispanic",poverty,306,145,3340,9.16
51540,"Charlottesville city, Virginia",2022,All Families,above,6432,550.4879653543754,8805,73.05
51540,"Charlottesville city, Virginia",2022,All Families,below,2373,385.3712495763014,8805,26.95
51540,"Charlottesville city, Virginia",2022,All Families,poverty,868,238,8805,9.86
51540,"Charlottesville city, Virginia",2022,Black,above,598,193.05957629705915,1563,38.26
51540,"Charlottesville city, Virginia",2022,Black,below,965,250.3757176724612,1563,61.74
51540,"Charlottesville city, Virginia",2022,Black,poverty,503,174,1563,32.18
51540,"Charlottesville city, Virginia",2022,Hispanic,above,198,102.02940752547768,500,39.6
51540,"Charlottesville city, Virginia",2022,Hispanic,below,302,160.52102666006095,500,60.4
51540,"Charlottesville city, Virginia",2022,Hispanic,poverty,24,21,500,4.8
51540,"Charlottesville city, Virginia",2022,"White, Not Hispanic",above,5194,496.7856680702454,6132,84.7
51540,"Charlottesville city, Virginia",2022,"White, Not Hispanic",below,938,231.54913085563504,6132,15.3
51540,"Charlottesville city, Virginia",2022,"White, Not Hispanic",poverty,292,120,6132,4.76
